id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
44,2008,Mohali,2008-05-20,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,bat,runs,0,Delhi Daredevils,34,0,F du Plessis,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
45,2008,Mohali,2008-04-30,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Rajasthan Royals,0,9,JP Duminy,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
46,2008,Ahmedabad,2008-05-18,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,runs,0,Mumbai Indians,61,0,F du Plessis,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
47,2008,Ahmedabad,2008-05-22,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,runs,0,Deccan Chargers,4,0,A Mishra,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
48,2008,Mumbai,2008-05-21,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,wickets,0,Mumbai Indians,0,2,KS Williamson,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
49,2008,Pune,2008-05-15,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,runs,0,Kings XI Punjab,47,0,AM Rahane,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
50,2008,Bangalore,2008-05-24,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,wickets,0,Delhi Daredevils,0,5,MS Dhoni,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
51,2008,Jaipur,2008-05-18,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,wickets,0,Delhi Daredevils,0,6,F du Plessis,"Eden Gardens, Kolkata",Umpire A,Umpire B
52,2008,Visakhapatnam,2008-05-30,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,runs,0,Deccan Chargers,53,0,SV Samson,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
53,2008,Indore,2008-05-25,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,runs,0,Rajasthan Royals,32,0,MM Sharma,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
54,2008,Chennai,2008-05-13,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,0,Royal Challengers Bangalore,33,0,BB McCullum,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
55,2008,Delhi,2008-04-19,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,wickets,0,Chennai Super Kings,0,9,AB de Villiers,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
56,2008,Delhi,2008-04-30,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,runs,0,Delhi Daredevils,7,0,P Kumar,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
57,2009,Mumbai,2009-05-13,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,wickets,0,Mumbai Indians,0,6,RA Tripathi,"Eden Gardens, Kolkata",Umpire A,Umpire B
58,2009,Chennai,2009-04-27,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,runs,0,Rajasthan Royals,73,0,SV Samson,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
59,2009,Delhi,2009-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,runs,1,Rajasthan Royals,76,0,B Kumar,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
60,2009,Kolkata,2009-04-15,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,wickets,0,Rajasthan Royals,0,3,Rashid Khan,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
61,2009,Chennai,2009-04-18,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,runs,0,Delhi Daredevils,37,0,A Mishra,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
62,2009,Mumbai,2009-05-29,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,wickets,0,Royal Challengers Bangalore,0,3,SR Watson,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
63,2009,Visakhapatnam,2009-05-12,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,field,wickets,0,Royal Challengers Bangalore,0,5,Harbhajan Singh,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
64,2009,Mumbai,2009-05-28,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,runs,0,Rajasthan Royals,74,0,A Mishra,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
65,2009,Chennai,2009-05-23,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Kolkata Knight Riders,0,7,PP Chawla,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
66,2009,Visakhapatnam,2009-05-12,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,wickets,0,Rajasthan Royals,0,5,DA Warner,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
67,2009,Mohali,2009-05-30,Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,25,0,MJ McClenaghan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
68,2009,Mumbai,2009-04-15,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,63,0,LH Ferguson,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
69,2009,Chennai,2009-04-25,Mumbai Indians,Deccan Chargers,Deccan Chargers,bat,wickets,0,Mumbai Indians,0,2,SP Narine,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
70,2009,Visakhapatnam,2009-05-16,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,wickets,0,Delhi Daredevils,0,4,AM Rahane,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
71,2009,Mumbai,2009-05-28,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,runs,0,Rajasthan Royals,65,0,HH Pandya,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
72,2009,Hyderabad,2009-05-16,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,field,runs,1,Rajasthan Royals,71,0,A Kumble,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
73,2009,Hyderabad,2009-04-25,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,runs,1,Deccan Chargers,61,0,DJ Bravo,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
74,2009,Pune,2009-05-30,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,runs,1,Deccan Chargers,59,0,AM Rahane,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
75,2009,Hyderabad,2009-05-27,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,0,6,PA Patel,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
76,2009,Jaipur,2009-05-10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,bat,runs,0,Chennai Super Kings,13,0,SR Watson,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
77,2009,Ahmedabad,2009-04-15,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,runs,0,Kolkata Knight Riders,68,0,A Mishra,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
78,2009,Delhi,2009-04-24,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,runs,0,Rajasthan Royals,33,0,DJ Bravo,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
79,2009,Jaipur,2009-04-22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,0,7,AT Rayudu,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
80,2009,Indore,2009-05-10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,wickets,0,Delhi Daredevils,0,5,RV Uthappa,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
81,2009,Indore,2009-05-14,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,wickets,0,Mumbai Indians,0,6,BB McCullum,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
82,2009,Mohali,2009-04-16,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Kolkata Knight Riders,0,2,SL Malinga,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
83,2009,Pune,2009-04-24,Kings XI Punjab,Deccan Chargers,Deccan Chargers,bat,wickets,1,Deccan Chargers,0,8,Q de Kock,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
84,2009,Delhi,2009-04-24,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,runs,0,Rajasthan Royals,51,0,YS Chahal,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
85,2009,Ahmedabad,2009-05-29,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,wickets,0,Deccan Chargers,0,8,Rashid Khan,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
86,2009,Delhi,2009-04-13,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,runs,0,Kings XI Punjab,6,0,Harbhajan Singh,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
87,2009,Indore,2009-05-29,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,0,Royal Challengers Bangalore,0,3,AB de Villiers,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
88,2009,Chennai,2009-05-27,Deccan Chargers,Mumbai Indians,Mumbai Indians,bat,runs,0,Mumbai Indians,31,0,A Mishra,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
89,2009,Indore,2009-04-11,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,wickets,0,Kings XI Punjab,0,8,F du Plessis,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
90,2009,Kolkata,2009-04-18,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,wickets,0,Royal Challengers Bangalore,0,4,I Sharma,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
91,2009,Mumbai,2009-04-28,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,wickets,0,Kolkata Knight Riders,0,1,KS Williamson,"Eden Gardens, Kolkata",Umpire A,Umpire B
92,2009,Jaipur,2009-04-24,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,wickets,0,Delhi Daredevils,0,2,DR Smith,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
93,2009,Hyderabad,2009-04-25,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,runs,0,Mumbai Indians,62,0,A Mishra,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
94,2009,Indore,2009-05-22,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,runs,1,Delhi Daredevils,36,0,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
95,2009,Hyderabad,2009-04-23,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,wickets,0,Deccan Chargers,0,9,DW Steyn,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
96,2009,Kolkata,2009-05-12,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,runs,0,Royal Challengers Bangalore,33,0,A Mishra,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
97,2009,Ahmedabad,2009-05-13,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,wickets,0,Mumbai Indians,0,9,Rashid Khan,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
98,2009,Bangalore,2009-05-17,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,runs,0,Delhi Daredevils,74,0,AM Rahane,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
99,2009,Ahmedabad,2009-04-29,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Rajasthan Royals,0,7,MJ McClenaghan,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
100,2009,Kolkata,2009-05-12,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,wickets,0,Mumbai Indians,0,6,AM Rahane,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
101,2009,Delhi,2009-04-11,Mumbai Indians,Delhi Daredevils,Mumbai Indians,field,wickets,0,Delhi Daredevils,0,3,PA Patel,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
102,2009,Jaipur,2009-05-16,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,wickets,0,Kings XI Punjab,0,8,SL Malinga,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
103,2009,Indore,2009-04-17,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Kolkata Knight Riders,0,8,AT Rayudu,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
104,2009,Mohali,2009-04-25,Mumbai Indians,Delhi Daredevils,Mumbai Indians,field,wickets,0,Mumbai Indians,0,5,KL Rahul,"Feroz Shah Kotla, Delhi",Umpire A,Umpire B
105,2009,Mumbai,2009-04-20,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,runs,0,Chennai Super Kings,6,0,A Kumble,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
106,2009,Ahmedabad,2009-05-12,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,runs,0,Rajasthan Royals,42,0,A Kumble,"Eden Gardens, Kolkata",Umpire A,Umpire B
107,2009,Bangalore,2009-04-12,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,runs,0,Chennai Super Kings,40,0,Q de Kock,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
108,2009,Chennai,2009-05-16,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,field,wickets,0,Deccan Chargers,0,3,AM Rahane,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
109,2009,Indore,2009-05-30,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,wickets,0,Rajasthan Royals,0,8,LH Ferguson,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
110,2009,Visakhapatnam,2009-05-24,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,wickets,0,Mumbai Indians,0,1,SK Raina,"Punjab Cricket Association Stadium, Mohali",Umpire A,Umpire B
111,2009,Jaipur,2009-04-24,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Mumbai Indians,0,9,MM Sharma,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
112,2009,Visakhapatnam,2009-04-11,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,0,Royal Challengers Bangalore,0,6,SP Narine,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
113,2010,Mohali,2010-04-30,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,wickets,0,Royal Challengers Bangalore,0,7,A Mishra,"Rajiv Gandhi International Stadium, Hyderabad",Umpire A,Umpire B
114,2010,Mohali,2010-04-21,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,runs,0,Kolkata Knight Riders,78,0,MS Dhoni,"Eden Gardens, Kolkata",Umpire A,Umpire B
115,2010,Indore,2010-04-30,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,wickets,0,Chennai Super Kings,0,6,P Kumar,"Eden Gardens, Kolkata",Umpire A,Umpire B
116,2010,Bangalore,2010-04-14,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,wickets,0,Kings XI Punjab,0,6,JP Duminy,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
117,2010,Kolkata,2010-04-24,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,field,wickets,0,Chennai Super Kings,0,3,P Kumar,"Eden Gardens, Kolkata",Umpire A,Umpire B
118,2010,Visakhapatnam,2010-05-25,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,wickets,0,Delhi Daredevils,0,8,SV Samson,"M. Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
119,2010,Hyderabad,2010-04-29,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,0,Kolkata Knight Riders,0,9,SR Watson,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Umpire A,Umpire B
120,2010,Delhi,2010-04-18,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,wickets,0,Deccan Chargers,0,9,MS Dhoni,"M. A. Chidambaram Stadium, Chennai",Umpire A,Umpire B
121,2010,Hyderabad,2010-05-26,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,wickets,0,Kolkata Knight Riders,0,6,CH Gayle,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
